Solution,Row#,Guesses
funky,5,"drape[0, 0, 0, 0, 0]/shiny[0, 0, 0, 1, 2]/mungy[0, 2, 2, 0, 2]/nunky[1, 2, 2, 2, 2]"
trust,4,"arise[0, 2, 0, 2, 0]/crost[0, 2, 0, 2, 2]/tryst[2, 2, 0, 2, 2]"
naive,4,"atone[1, 0, 0, 1, 2]/hanse[0, 2, 1, 0, 2]/nappe[2, 2, 0, 0, 2]"
plunk,3,"later[1, 0, 0, 0, 0]/slink[0, 2, 0, 2, 2]"
foggy,4,"worse[0, 2, 0, 0, 0]/bonum[0, 2, 0, 0, 0]/folic[2, 2, 0, 0, 0]"
rerun,4,"slate[0, 0, 0, 0, 1]/preon[0, 1, 1, 0, 2]/reign[2, 2, 0, 0, 2]"
armor,4,"snare[0, 0, 1, 1, 0]/parky[0, 1, 1, 0, 0]/actor[2, 0, 0, 2, 2]"
lager,3,"adieu[1, 0, 0, 2, 0]/layer[2, 2, 0, 2, 2]"
media,4,"crate[0, 0, 1, 0, 1]/wayed[0, 1, 0, 1, 1]/sedan[0, 2, 2, 1, 0]"
amply,4,"paint[1, 1, 0, 0, 0]/agape[2, 0, 1, 1, 0]/appam[2, 1, 2, 1, 1]"
giddy,6,"anime[0, 0, 1, 0, 0]/kikoi[0, 2, 0, 0, 1]/risus[0, 2, 0, 0, 0]/filth[0, 2, 0, 0, 0]/gippy[2, 2, 0, 0, 2]"
glide,3,"trace[0, 0, 0, 0, 2]/lodge[1, 0, 1, 1, 2]"
trope,5,"prowl[1, 2, 2, 0, 0]/droop[0, 2, 2, 1, 1]/crops[0, 2, 2, 2, 0]/grope[0, 2, 2, 2, 2]"
agape,6,"sired[0, 0, 0, 1, 0]/enzym[1, 0, 0, 0, 0]/acute[2, 0, 0, 0, 2]/abele[2, 0, 1, 0, 2]/awake[2, 0, 2, 0, 2]"
young,6,"anime[0, 1, 0, 0, 0]/bouns[0, 2, 2, 2, 0]/count[0, 2, 2, 2, 0]/round[0, 2, 2, 2, 0]/nouny[1, 2, 2, 2, 1]"
riper,3,"later[0, 0, 0, 2, 2]/prier[1, 1, 1, 2, 2]"
drink,3,"sired[0, 1, 1, 0, 1]/drain[2, 2, 0, 1, 1]"
shoal,3,"cream[0, 0, 0, 2, 0]/vasal[0, 1, 1, 2, 2]"
world,4,"paint[0, 0, 0, 0, 0]/femur[0, 0, 0, 0, 1]/wryly[2, 1, 0, 2, 0]"
spent,4,"alone[0, 0, 0, 2, 1]/syens[2, 0, 2, 2, 1]/scent[2, 0, 2, 2, 2]"
mulch,5,"worse[0, 0, 0, 0, 0]/gyppy[0, 0, 0, 0, 0]/dabba[0, 0, 0, 0, 0]/minim[2, 0, 0, 0, 1]"
ashen,4,"alone[2, 0, 0, 1, 1]/anger[2, 1, 0, 2, 0]/apnea[2, 0, 1, 2, 1]"
faith,3,"tears[1, 0, 1, 0, 0]/junta[0, 0, 0, 2, 1]"
